NO_OF_FRAMES	919
NO_OF_DATA_TYPES	1
FREQUENCY	200
TIME_STAMP	2022-06-21, 12:21:53
DATA_INCLUDED	Angle
DATA_TYPES	R_knee_angle

Frame	Time	R_knee_angle	
373	1.86000	156.376
374	1.86500	156.225
375	1.87000	156.121
376	1.87500	155.984
377	1.88000	155.824
378	1.88500	155.649
379	1.89000	155.503
380	1.89500	155.421
381	1.90000	155.406
382	1.90500	155.536
383	1.91000	155.668
384	1.91500	155.850
385	1.92000	156.063
386	1.92500	156.288
387	1.93000	156.528
388	1.93500	156.788
389	1.94000	157.075
390	1.94500	157.297
391	1.95000	157.563
392	1.95500	157.738
393	1.96000	157.774
394	1.96500	158.087
395	1.97000	158.346
396	1.97500	158.603
397	1.98000	158.900
398	1.98500	159.214
399	1.99000	159.508
400	1.99500	159.906
401	2.00000	160.292
402	2.00500	160.633
403	2.01000	161.042
404	2.01500	161.457
405	2.02000	161.893
406	2.02500	162.328
407	2.03000	162.798
408	2.03500	163.247
409	2.04000	163.783
410	2.04500	164.223
411	2.05000	164.605
412	2.05500	164.981
413	2.06000	165.250
414	2.06500	165.252
415	2.07000	165.614
416	2.07500	166.054
417	2.08000	166.477
418	2.08500	166.833
419	2.09000	167.133
420	2.09500	167.417
421	2.10000	167.704
422	2.10500	167.977
423	2.11000	168.244
424	2.11500	168.473
425	2.12000	168.692
426	2.12500	168.912
427	2.13000	169.094
428	2.13500	169.151
429	2.14000	169.500
430	2.14500	169.611
431	2.15000	169.767
432	2.15500	169.914
433	2.16000	170.037
434	2.16500	170.138
435	2.17000	170.229
436	2.17500	170.302
437	2.18000	170.342
438	2.18500	170.402
439	2.19000	170.443
440	2.19500	170.333
441	2.20000	170.333
442	2.20500	170.290
443	2.21000	170.210
444	2.21500	170.121
445	2.22000	170.006
446	2.22500	169.868
447	2.23000	169.713
448	2.23500	169.543
449	2.24000	169.342
450	2.24500	169.107
451	2.25000	168.845
452	2.25500	168.491
453	2.26000	168.147
454	2.26500	167.806
455	2.27000	167.406
456	2.27500	166.990
457	2.28000	166.546
458	2.28500	166.106
459	2.29000	165.612
460	2.29500	165.096
461	2.30000	164.564
462	2.30500	164.025
463	2.31000	163.505
464	2.31500	162.945
465	2.32000	162.230
466	2.32500	161.617
467	2.33000	160.918
468	2.33500	160.184
469	2.34000	159.403
470	2.34500	158.569
471	2.35000	157.665
472	2.35500	156.703
473	2.36000	155.635
474	2.36500	154.503
475	2.37000	153.272
476	2.37500	151.956
477	2.38000	150.553
478	2.38500	149.067
479	2.39000	147.544
480	2.39500	145.972
481	2.40000	144.410
482	2.40500	142.861
483	2.41000	141.313
484	2.41500	139.762
485	2.42000	138.231
486	2.42500	136.688
487	2.43000	135.149
488	2.43500	133.580
489	2.44000	132.062
490	2.44500	130.572
491	2.45000	129.181
492	2.45500	127.521
493	2.46000	126.158
494	2.46500	124.843
495	2.47000	123.616
496	2.47500	122.515
497	2.48000	121.561
498	2.48500	120.776
499	2.49000	120.003
500	2.49500	119.319
501	2.50000	118.710
502	2.50500	118.226
503	2.51000	117.774
504	2.51500	117.417
505	2.52000	117.163
506	2.52500	117.044
507	2.53000	116.861
508	2.53500	116.823
509	2.54000	116.915
510	2.54500	117.057
511	2.55000	117.282
512	2.55500	117.572
513	2.56000	117.959
514	2.56500	118.399
515	2.57000	118.919
516	2.57500	119.473
517	2.58000	120.053
518	2.58500	120.826
519	2.59000	121.577
520	2.59500	122.498
521	2.60000	123.567
522	2.60500	124.600
523	2.61000	126.018
524	2.61500	127.114
525	2.62000	128.449
526	2.62500	129.700
527	2.63000	130.979
528	2.63500	132.361
529	2.64000	133.838
530	2.64500	135.381
531	2.65000	136.967
532	2.65500	138.549
533	2.66000	140.230
534	2.66500	141.903
535	2.67000	143.670
536	2.67500	145.469
537	2.68000	147.290
538	2.68500	149.154
539	2.69000	151.009
540	2.69500	152.833
541	2.70000	154.580
542	2.70500	156.342
543	2.71000	158.079
544	2.71500	159.664
545	2.72000	161.202
546	2.72500	162.617
547	2.73000	163.948
548	2.73500	165.149
549	2.74000	166.238
550	2.74500	167.197
551	2.75000	167.968
552	2.75500	168.581
553	2.76000	169.063
554	2.76500	169.387
